Firm,Date,Source,MR Link,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Weightings,Full Commentary
J.P. Morgan Asset Management,26/03/2026 | 30/04/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,Done,EM Debt - General,Fixed Income - Geo,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,"Both J.P. Morgan teams are neutral on emerging market debt. The GFICC team (March 24) notes the complicated macro environment but recognises resilience varies considerably, with oil-importing EMs facing headwinds while exporters may benefit. The binary oil outcome makes broad positioning difficult. The Multi-Asset Solutions team (April 30) adds that while all-in yields on EMD sovereign hard currency are attractive, two-thirds of the index constituents are net oil importers, creating structural vulnerability. The asymmetric return profile argues for selectivity over broad beta."
J.P. Morgan Asset Management,26/03/2026 | 30/04/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,Done,Duration,Fixed Income - Duration,Fixed Income - General,Fixed Income,U,Underweight,"Both J.P. Morgan teams are underweight duration. The GFICC team (March 24) explicitly favours front-end government bonds over long duration, noting the 10-year is range-bound at best while the front end has repriced 60-100 bps higher, offering attractive carry and a natural hedge. The stagflationary environment is the most difficult for long-duration positioning. The Multi-Asset Solutions team (April 30) expresses the underweight through short 10-year US Treasuries and a 5s30s curve steepener, favouring Gilts and Italian BTPs while underweighting Bunds and Australian government bonds."
J.P. Morgan Asset Management,26/03/2026 | 30/04/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,Done,UK Gilts,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"Both J.P. Morgan teams are overweight UK government bonds. The GFICC team (March 24) sees short-dated UK gilts as mispriced after the BoE signalled a potential rate hike, drawing parallels with the 2008 and 2011 policy mistakes when central banks tightened into oil-driven slowdowns. Their core thesis is that a supply-led oil shock will ultimately cripple demand and necessitate rate cuts, creating an asymmetric opportunity in short-dated gilts. The Multi-Asset Solutions team (April 30) reaffirms the overweight based on relative attractiveness versus other DM sovereign markets, expressing it partly through a long Gilts vs. short Australian government bonds trade."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"PIMCO favours a modest duration overweight centred on the US Treasury market, which retains its safe-haven status and offers valuable portfolio diversification. Balanced curve exposure is preferred as yields are attractive across maturities. Bonds can cushion equity volatility, provide liquidity for redeployment when markets dislocate, and generate meaningful income at current yield levels."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Global Govt Bonds/SSAs,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"High quality government bonds are positioned at the centre of PIMCO's portfolio construction framework. Starting yields well above 2022 levels provide a solid foundation for income, equity hedging and liquidity. PIMCO sees bonds as essential for navigating the wide distribution of outcomes created by the energy shock and geopolitical uncertainty."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Inflation-Linked/TIPs,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"TIPS and inflation-sensitive assets are given a more prominent allocation as PIMCO sees traditional bond-equity correlation assumptions weakening. The Middle East energy shock has increased inflation uncertainty materially, and TIPS can hedge real-world purchasing power in scenarios where inflation proves persistent or re-accelerates."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,US Agency MBS,Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,Overweight,"PIMCO identifies US agency mortgage-backed securities as one of the highest-value segments across the public-private credit continuum. Agency MBS offers investment grade quality, stable and predictable cash flows, and high quality securitised credit exposure — all priorities in an environment where liquidity and collateral quality are paramount."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,Overweight,"High quality securitised credit alongside agency MBS is preferred. PIMCO favours collateral-backed, transparent structures over unsecured corporate direct lending, where illiquidity premia have compressed and late-cycle risks are most visible."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,PD - Asset-Based/Asset-Backed,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,O,Overweight,"Within private credit, PIMCO prefers asset-based finance and senior commercial real estate debt over corporate direct lending. ABF remains a large and attractive market offering collateral backing and lower correlation to the corporate earnings cycle, making it more resilient in a late-cycle environment with rising defaults in direct lending."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Commodities,Alts - Commodities,Commodities,Alternatives,O,Overweight,Commodities are recommended as a portfolio fortification tool alongside TIPS and real assets. The Middle East energy shock has elevated commodity prices and increased their hedging value against persistent inflation scenarios. PIMCO favours global diversification that includes inflation-sensitive real assets.
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Real Assets,Asset Allocation - Broad,Alts - Real Assets,Alternatives,O,Overweight,"Real assets are favoured for inflation hedging and portfolio diversification. Global real estate has already undergone a cyclical downturn with valuations 15-40% below peak, offering attractive entry points. Senior commercial real estate lending in particular benefits from collateral-backed structures and cyclical recovery potential."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Equities - General,Asset Allocation - Broad,Asset Allocation,Equities,N,Neutral,Equity ownership is at record highs as a share of household financial assets while fixed income is near record lows. PIMCO sees this as a moment for practical portfolio rebalancing toward bonds rather than an outright bearish equity call. The environment favours resilience and quality over concentrated directional bets.
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Global IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,N,Neutral,"IG credit carries attractive yields but spreads are tight and have repriced only modestly since the Middle East conflict. PIMCO emphasises selectivity: balance sheet strength, durable cash flows and high quality collateral matter more than headline yield. Bottom-up differentiation is increasingly important as the cycle matures."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Emerging Markets Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,N,Neutral,"EM central banks face a harder task than DM counterparts in looking through energy-driven inflation. Prospective easing has mostly been priced out. However, many EM economies started with greater real yield buffers and elevated policy rates. PIMCO sees differentiation between energy importers and exporters as the key positioning variable."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Europe Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,N,Neutral,"The BoE and ECB have been at the centre of the repricing storm, with markets aggressively adjusting rate expectations. PIMCO expects front-end sell-offs to partially reverse but notes high uncertainty for energy-importing economies. The eurozone and UK face the largest downside growth risks from the energy shock."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,PD - Direct Lending,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,U,Underweight,"PIMCO is explicitly cautious on corporate direct lending, the segment that has driven most of private credit's growth. Late-cycle stress is visible: elevated shadow default rates, weaker underwriting, PIK reliance and refinancing risk. BDCs are pricing significant NAV discounts. The illiquidity premium has compressed, making the risk-return trade-off unattractive relative to public alternatives."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Private Credit/Debt,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,U,Underweight,"PIMCO draws explicit parallels between the current private credit market and the pre-GFC non-agency mortgage market, noting comparable size doubling. While not predicting systemic risk, the firm sees stress as likely to contribute to tighter financial conditions, weigh on hiring and investment, and create spillovers to public credit markets."
PIMCO,3/20/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=layered-uncertainty-conflict-credit-stress-and-ai,Global HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,Underweight,"PIMCO is cautious on lower-quality high yield issuers, particularly those with weak covenants, opaque vehicle structures and liquidity mismatches. The firm notes that stress in private credit could spill over to public HY markets and emphasises quality differentiation within the credit spectrum."
